-1606,-1606,631,549,77,-750,-5419,550-7188,-7188
-2681,-2681,526,-1252,-1270,-839,-7996,-1671-4949,-4949
-2365,-2365,521,-1981,-1868,-1312,-6399,-1399352,352
-2189,-2189,-58,-1085,259,327,-823,21088708,8708
-2764,-2764,-1261,-527,726,1708,3613,738214628,14628
-3804,-3804,-1684,-4933,-2996,-503,474,279813507,13507
-3758,-3758,-1115,-8470,-4149,-1565,-2034,-219411344,11344
-4217,-4217,-2994,-8763,-3265,-1723,1033,-302912668,12668
-5033,-5033,-5728,-9782,-4435,-3493,-32,-50017722,7722
-4999,-4999,-6470,-7301,-4561,-4156,-3494,-67861693,1693
-4393,-4393,-5675,-5712,-4213,-5259,-4073,-7653-1044,-1044
-2389,-2389,-4186,-1600,-2117,-4073,-1864,-6637-2587,-2587
-1967,-1967,-3848,527,-1100,-2231,-1701,-4494-4056,-4056
-1024,-1024,-1444,1043,798,1170,-214,147-3861,-3861
3562,3562,3888,6219,5701,6439,4708,5489-1460,-1460
506,506,708,3152,1944,1677,3072,20861005,1005
-386,-386,243,1813,-265,-450,-391,4472074,2074
2909,2909,4752,4538,3569,4385,936,198-3070,-3070
945,945,2731,2594,3140,3812,1467,-819-4827,-4827
-198,-198,-207,4006,1355,1497,345,2552-1764,-1764
-173,-173,755,4618,1419,1429,-1596,747-6625,-6625
1333,1333,2984,5628,2440,3320,-1468,1099-7701,-7701
-635,-635,283,2350,-925,-495,-3433,1274-1798,-1798
-2309,-2309,-2670,-1465,-3810,-3984,-5032,-989-812,-812
2241,2241,809,2816,-1531,-949,-2397,1800-1407,-1407
1689,1689,840,-23,-3344,-2455,-2933,417-2240,-2240
-988,-988,-2269,-4943,-5324,-5122,-506,-1467-2926,-2926
1390,1390,-435,-4210,-2588,-2195,1582,-1489-3835,-3835
2901,2901,1504,-1933,1116,2643,4081,962-7448,-7448
498,498,574,797,2440,3490,5394,2932-9008,-9008
-3778,-3778,-2255,-2385,-781,-1187,-884,-1424-8967,-8967
-2013,-2013,-599,-890,-66,-169,194,-257-5071,-5071
-304,-304,603,2208,1912,1995,2578,175-2755,-2755
-2907,-2907,-2730,228,293,878,-1783,-3159-1920,-1920
-828,-828,-1187,2106,1518,1577,-1591,-15802106,2106
3832,3832,2933,5670,5201,4658,-391,-9723869,3869
3053,3053,1672,4478,4050,4006,-2764,-54991978,1978
2888,2888,1626,3327,3622,4203,-2177,-60253177,3177
2843,2843,983,1429,3040,3764,-1798,-25693315,3315
1902,1902,-255,2947,2064,1928,-126,7893848,3848
-1271,-1271,-2062,747,-656,-1536,966,-8117403,7403
-3722,-3722,-2974,-1640,-2643,-4343,-411,-34294956,4956
-3251,-3251,-2317,-2181,-2417,-4714,-1406,-11832358,2358
1413,1413,2024,1207,2758,-115,3041,52915599,5599
2298,2298,2975,2455,3571,611,4658,60806325,6325
1937,1937,3327,60,943,-853,1861,23611954,1954
2175,2175,3778,-765,277,-618,-1040,602897,897
349,349,1551,-4218,-1389,-2504,-905,2492770,2770
2088,2088,2809,-2165,1491,1455,3148,35508150,8150
-515,-515,282,-1249,-542,-606,-588,23946529,6529
-2127,-2127,-570,-1588,-1179,-2532,-2181,11531966,1966
-2686,-2686,-712,-546,511,-130,1459,28861965,1965
-2666,-2666,-818,2349,1527,1410,3406,42082391,2391
-2004,-2004,-726,5621,2151,2476,3431,4512-763,-763
-3311,-3311,-2066,5701,847,733,1442,2943-5164,-5164
-4506,-4506,-3040,2502,-1118,-1563,-3361,-1772-5067,-5067
-1342,-1342,-496,5006,1140,769,-423,18884443,4443
848,848,1221,4641,2173,578,3185,37808568,8568
-202,-202,-534,16,753,-743,-1553,4962668,2668
718,718,-131,762,1776,810,877,24922897,2897
791,791,-96,-892,-784,-2918,2128,22417704,7704
122,122,-1123,-3162,-4705,-5661,-3079,-55931059,1059
-96,-96,-1447,-6518,-6211,-5838,-9265,-13192-10450,-10450
905,905,-1043,-6700,-5453,-4332,-6298,-8042-9273,-9273
444,444,-1643,-3890,-5491,-4244,-2610,-3339-5729,-5729
2689,2689,1654,-1794,-3004,-2437,-3811,-5241-7439,-7439
2850,2850,2147,-806,-937,-993,-1356,-4952-7955,-7955
3132,3132,2465,235,1868,1315,5557,1104-3708,-3708
3830,3830,2950,2740,3579,2879,6274,3700437,437
3018,3018,1751,5100,2938,544,3219,15902817,2817
2641,2641,2408,4159,2842,86,2395,7463334,3334
1460,1460,857,3353,893,-671,-601,1862940,2940
-2023,-2023,-3190,694,-1958,-3069,-5387,-3260312,312
1084,1084,-339,2914,2312,1552,-4475,-15382537,2537
2149,2149,1124,4302,3448,3378,450,24415210,5210
-1338,-1338,-1508,-249,-1167,-1295,-1815,-1300169,169
-522,-522,-165,-130,-1173,-589,-135,-23301613,1613
158,158,864,-537,1112,-431,2476,3676123,6123
-390,-390,406,-1311,3356,27,4572,28284670,4670
-2278,-2278,-1238,-1509,1214,-1117,3292,2390-1261,-1261
-2229,-2229,-486,1116,1137,-1297,1601,3832-1243,-1243
-3538,-3538,-1595,2339,1825,-558,2264,55431722,1722
-6076,-6076,-4874,-908,-1451,-3287,-819,1091-849,-849
-3517,-3517,-2998,2069,-1115,-1222,-851,2537-3853,-3853
