ecg,emg_cheekbone,ksr,emg_nose,pulse
2.41176462,2.41176462,2.41176462,2.25490189,1.86274505
2.58823538,2.58823538,2.58823538,2.17647052,1.82352936
2.45098042,2.45098042,2.45098042,2.31372547,1.82352936
2.2352941,2.2352941,2.2352941,2.49019599,1.84313726
2.17647052,2.17647052,2.17647052,2.58823538,1.80392158
2.27450991,2.27450991,2.27450991,2.56862736,1.74509799
2.68627453,2.68627453,2.68627453,2.43137264,1.72549021
2.72549009,2.72549009,2.72549009,2.19607854,1.70588231
2.50980401,2.50980401,2.50980401,2.2352941,1.66666663
2.37254906,2.37254906,2.37254906,2.35294127,1.64705884
2.27450991,2.27450991,2.27450991,2.56862736,1.60784316
2.37254906,2.37254906,2.37254906,2.62745094,1.58823526
2.58823538,2.58823538,2.58823538,2.56862736,1.52941179
2.74509811,2.74509811,2.74509811,2.35294127,1.49019611
2.7647059,2.7647059,2.7647059,2.15686274,1.47058821
2.49019599,2.49019599,2.49019599,2.2352941,1.41176474
2.29411769,2.29411769,2.29411769,2.39215684,1.37254906
2.35294127,2.35294127,2.35294127,2.54901958,1.39215684
2.52941179,2.52941179,2.52941179,2.50980401,1.29411769
2.60784316,2.60784316,2.60784316,2.27450991,1.25490201
2.72549009,2.72549009,2.72549009,2.2352941,1.2352941
2.60784316,2.60784316,2.60784316,2.37254906,1.15686274
2.52941179,2.52941179,2.52941179,2.52941179,1.15686274
2.50980401,2.50980401,2.50980401,2.64705873,1.09803927
2.43137264,2.43137264,2.43137264,2.60784316,1.11764705
2.47058821,2.47058821,2.47058821,2.49019599,1.09803927
2.56862736,2.56862736,2.56862736,2.29411769,1.07843137
2.56862736,2.56862736,2.56862736,2.31372547,1.09803927
2.50980401,2.50980401,2.50980401,2.43137264,1.09803927
2.41176462,2.41176462,2.41176462,2.58823538,1.11764705
2.45098042,2.45098042,2.45098042,2.62745094,1.15686274
2.66666675,2.66666675,2.66666675,2.54901958,1.11764705
2.72549009,2.72549009,2.72549009,2.2352941,1.15686274
2.70588231,2.70588231,2.70588231,2.29411769,1.21568632
2.49019599,2.49019599,2.49019599,2.47058821,1.2352941
2.43137264,2.43137264,2.43137264,2.60784316,1.35294116
2.41176462,2.41176462,2.41176462,2.64705873,1.39215684
2.60784316,2.60784316,2.60784316,2.60784316,1.47058821
2.86274505,2.86274505,2.86274505,2.37254906,1.47058821
2.98039222,2.98039222,2.98039222,2.33333325,1.50980389
2.88235283,2.88235283,2.88235283,2.47058821,1.52941179
2.74509811,2.74509811,2.74509811,2.62745094,1.56862748
2.64705873,2.64705873,2.64705873,2.74509811,1.58823526
2.7647059,2.7647059,2.7647059,2.74509811,1.60784316
2.84313726,2.84313726,2.84313726,2.62745094,1.64705884
2.82352948,2.82352948,2.82352948,2.43137264,1.66666663
2.86274505,2.86274505,2.86274505,2.45098042,1.66666663
2.7647059,2.7647059,2.7647059,2.58823538,1.72549021
2.62745094,2.62745094,2.62745094,2.80392146,1.72549021
