ecg,emg_cheekbone,ksr,emg_nose,pulse
2.25490189,2.25490189,2.25490189,2.43137264,1.66666663
2.19607854,2.19607854,2.19607854,2.45098042,1.66666663
1.66666663,1.66666663,1.66666663,2.50980401,1.62745094
1.62745094,1.62745094,1.62745094,2.54901958,1.62745094
2.17647052,2.17647052,2.17647052,2.54901958,1.62745094
2.66666675,2.66666675,2.66666675,2.50980401,1.62745094
2.47058821,2.47058821,2.47058821,2.45098042,1.62745094
2.49019599,2.49019599,2.49019599,2.45098042,1.62745094
1.78431368,1.78431368,1.78431368,2.49019599,1.62745094
1.74509799,1.74509799,1.74509799,2.50980401,1.62745094
2.2352941,2.2352941,2.2352941,2.52941179,1.64705884
2.66666675,2.66666675,2.66666675,2.54901958,1.64705884
2.78431368,2.78431368,2.78431368,2.49019599,1.64705884
2.58823538,2.58823538,2.58823538,2.47058821,1.62745094
2.07843137,2.07843137,2.07843137,2.45098042,1.62745094
1.78431368,1.78431368,1.78431368,2.49019599,1.60784316
2.11764717,2.11764717,2.11764717,2.52941179,1.60784316
2.31372547,2.31372547,2.31372547,2.54901958,1.60784316
2.90196085,2.90196085,2.90196085,2.50980401,1.60784316
2.54901958,2.54901958,2.54901958,2.49019599,1.60784316
2.01960778,2.01960778,2.01960778,2.47058821,1.60784316
1.88235295,1.88235295,1.88235295,2.47058821,1.60784316
2.0392158,2.0392158,2.0392158,2.50980401,1.60784316
2.31372547,2.31372547,2.31372547,2.52941179,1.62745094
2.90196085,2.90196085,2.90196085,2.47058821,1.62745094
2.68627453,2.68627453,2.68627453,2.47058821,1.62745094
2.50980401,2.50980401,2.50980401,2.43137264,1.62745094
1.9803921,1.9803921,1.9803921,2.43137264,1.62745094
2.0,2.0,2.0,2.49019599,1.62745094
2.11764717,2.11764717,2.11764717,2.50980401,1.60784316
2.7647059,2.7647059,2.7647059,2.49019599,1.60784316
2.82352948,2.82352948,2.82352948,2.43137264,1.58823526
2.78431368,2.78431368,2.78431368,2.41176462,1.58823526
2.45098042,2.45098042,2.45098042,2.41176462,1.58823526
1.9803921,1.9803921,1.9803921,2.43137264,1.58823526
1.86274505,1.86274505,1.86274505,2.47058821,1.60784316
2.21568632,2.21568632,2.21568632,2.47058821,1.58823526
2.74509811,2.74509811,2.74509811,2.43137264,1.58823526
2.7647059,2.7647059,2.7647059,2.39215684,1.58823526
2.54901958,2.54901958,2.54901958,2.43137264,1.58823526
2.19607854,2.19607854,2.19607854,2.43137264,1.60784316
2.0392158,2.0392158,2.0392158,2.47058821,1.60784316
2.15686274,2.15686274,2.15686274,2.49019599,1.58823526
2.47058821,2.47058821,2.47058821,2.47058821,1.56862748
2.39215684,2.39215684,2.39215684,2.41176462,1.56862748
2.33333325,2.33333325,2.33333325,2.39215684,1.56862748
1.92156863,1.92156863,1.92156863,2.39215684,1.56862748
2.01960778,2.01960778,2.01960778,2.41176462,1.56862748
2.2352941,2.2352941,2.2352941,2.43137264,1.56862748
2.70588231,2.70588231,2.70588231,2.41176462,1.56862748
2.92156863,2.92156863,2.92156863,2.39215684,1.56862748
2.98039222,2.98039222,2.98039222,2.37254906,1.52941179
2.52941179,2.52941179,2.52941179,2.35294127,1.52941179
2.11764717,2.11764717,2.11764717,2.39215684,1.52941179
